type,line,original,modern,english,id,title,description
line,264,Ny a vyn purwyr kensa,"Ni a vynn pur wir, kynsa","264 We will, [right] truly, first",,,
line,265,mones warbarth ʒe ʒybry,mones warbarth dhe dhybri.,Go together to eat.,,,
line,266,dun yn palys ʒe setha,"Deun y'n palys dhe 'sedha,","Let us come into the palace to sit,",,,
line,267,bras ha byan pub huny,"bras ha byghan, pub huni.","Great and small, every one,",,,
line,268,spencer yv parys pub tra,"Spenser, yw parys pub tra?","268 Spencer, is everything ready ?",,,
line,269,lauer ʒym del om kerry,"Lavar dhymm dell y'm kerri,","Tell me as thou lovest me,",,,
line,270,ma yllyn mos ʒe lyfya,"may hyllyn mos dhe livya,","That we may go to dine,",,,
line,271,ov lych gans y arlyʒy,ow lij gans y arlydhi.,My liege with his lords.,,,
stage,,escendunt omnes in placeam,,[All go down into the open space. ],,,
blank,,,,,,,
blank,,,,,,,
speaker,,PINCERNA DUCIS BRITANIE 272,Pincerna Ducis Britanie,THE SPENCER of the Duke of Brittany.,,,
line,272,Pup tra oma yv parys,Pub tra omma yw parys.,272 Everything here is ready.,,,
line,273,an arlythy desethys,An arlydhi desedhys,Let the lords seated,,,
line,274,bethens genogh meriasek,"bedhens genowgh, Meryasek","Be by you, Meriasek.",,,
line,275,ny a kergh vytel in chy,Ni a gyrgh vytel y'n chi.,We will seek victual within.,,,
line,276,trompys cleryons wethugh wy,"Trompys, kleryons, hwythewgh hwi","276 Trumpets, clarions, blow ye",,,
line,277,lemen then fest lowenek,"lemmyn dhyn, fest lowenek.",Now to the joyous feast !,,,
blank,,,,,,,
speaker,,MERIADOCUS 278,Meriadocus,MERIASEK.,,,
line,278,Ov arluth lich a esa,Ow arloedh lij a esa',My liege lord shall sit,,,
line,279,omma purguir an kynsa,"omma pur wir an kynsa,",Here right truly the first.,,,
line,280,hav thays theragtho inweth,ha'w thas dheragdho ynwedh.,280 And my father before him also.,,,
line,281,ham mam ger in pen an voys,Ha'm mamm ger yn penn an voes.,And my mother dear at the head of the table.,,,
line,282,orlyans duk a galloys,"[Orlyans], Dug a alloes,","Orleans, Duke of power,",,,
line,283,esethugh oma purfeth,"esedhewgh omma perfeyth,","Sit ye here perfectly,",,,
line,284,han arlythy yonk ha loys,"ha'n arlydhi, yo'nk ha loes,","284 And the lords, young and gray,",,,
line,285,ran arak ran aberveth,"rann a-rag, rann a-bervedh.","Part before, part in the middle.",,,
blank,,,,,,,
speaker,,DUX ORLYANS 286,Dug Orlyans,DUKE OF ORLEANS.,,,
line,286,Gromercy meryasek wek,"Gromersi, Meryasek hweg,","Gramercy, sweet Meriasek,",,,
line,287,agis norter yv mar dek,"agas norter yw mar deg,","Your nurture is so sweet,",,,
line,288,maythogh keris gans lues,mayth owgh kerys gans lies,"288 That you are loved by many,",,,
line,289,hagis manerov a plek,ha'gas manerow a bleg,And your manners are pleasing,,,
line,290,kefrys the letrys ha lek,keffrys dhe lettrys ha leg.,Likewise to lettered and to layman.,,,
line,291,parov thyugh in bys nynsues,Parow dhywgh y'n bys nyns eus.,Peers to you in the world are not.,,,
stage,,Hic mimi ludent melodiam,,[Here the mimes shall play a melody. ],,,
blank,,,,,,,
speaker,,MERIADOCUS 292,Meriadocus,MERIASEK.,,,
line,292,Ov lich kyng bethugh mery,"Ow lij kyng, bedhewgh meri","292 My liege lord [king], be you merry :",,,
line,293,inweth oll an kyff nywy (kyffnywy),"ynwedh oll an kevywi,","Likewise all shall have gaiety (?) [the guests],",,,
line,294,dukis ʒurlys marogyon,"dugys, yurlys, marghogyon.","Dukes, Earls, Knights.",,,
line,295,ov thays hav mam an denys,"Ow thas, ha'w mamm a'm denas","My father, and my mother who suckled me,",,,
line,296,omgersyogh me agis peys,"omjershyewgh, my a'gas pys,","296 Comfort yourselves, I beseech you,",,,
line,297,a luen golon,a leun golonn.,From a full heart.,,,
blank,,,,,,,
speaker,,CONANUS REX 298,Conanus rex,KING CONAN.,,,
line,298,Gromercy meryasek wek,"Gromersi, Meryasek hweg,","Gramercy, sweet Meriasek,",,,
line,299,mar luen oys a corteysy,"mar leun os a gortesi,","So full art thou of courtesy,",,,
line,300,me ath ra den galosek,"my a'th wra den galloesek,","300 I will make thee a mighty man,",,,
line,301,trest am bus pur eredy,"trest a'm beus pur yredi,","Trust have I right readily,",,,
line,302,me a wor py kefyth gruek,"my a woer py kevydh gwreg,","I know where thou wilt find a wife,",,,
line,303,neb yv mergh mytern worthy,"neb yw myrgh myghtern wordhi,","Who is a worthy king's daughter,",,,
line,304,ha gensy y feth tra dek,ha gensi y fydh tra deg -,304 And with her will be [thou shalt have] a fair thing —,,,
line,305,maners trefov castylly,"maners, trevow, kastylli.","Manors, houses, castles.",,,
line,306,theth tus ha dyso mar plek,"Dhe'th tus ha dhiso, mar pleg,","To thy people and thee, if it pleases,",,,
line,307,me a leuer pyv ew hy,my a lever piw yw hi.,I will say who she is.,,,
blank,,,,,,,
speaker,,PATER MERIADOCI DUX 308,Pater Meriadoci Dux,MERIASEK'S FATHER THE DUKE.,,,
line,308,Gromercy agen lych da,"Gromersi, agan lij da!","308 Gramercy, our good liege !",,,
line,309,mur gras y wothen nefra,Meur ras a wodhon nevra,Much thanks I [we] give ever,,,
line,310,thywy agis bolnogeth,dhy'hwi a'gas bolonjedh.,To you for your wish.,,,
line,311,the greffe y fyen ny,Dhe greffa y fien ni,We should be the stronger,,,
line,312,y voys maryys eredy,y vos maryes yredi,"312 Were he married readily,",,,
line,313,ha moghheys agen roweth,ha moghhes agan roweth.,And our sway greatened.,,,
blank,,,,,,,
speaker,,MATER 314,Mater,THE MOTHER.,,,
line,314,Ny yv plesijs hag a vyn,Ni yw plesyes hag a vynn,We are pleased and we will,,,
line,315,boys revlijs drethogh certeyn,"bos rewlys dredhowgh sertan,","Be ruled by you certainly,",,,
line,316,ha meriasek kekefrys,ha Meryasek kekeffrys:,316 We and Meriasek likewise :,,,
line,317,ken the vlamya y fyen,ken dhe vlamya y fien.,Otherwise to blame we should be.,,,
line,318,why yv pen agen ehen,"Hwi yw penn agan eghenn,","You are head of our tribe,",,,
line,319,gouerner lich a fur rays,"governour, lij a veur ras.","Governor, liege of great grace.",,,
blank,,,,,,,
speaker,,MERIADOCUS 320,Meriadocus,MERIASEK.,,,
line,320,Ov arluth lich thyugh mur grays,"Ow arloedh lij, dhywgh meur ras","320 My liege lord, to you much thanks",,,
line,321,thym agis bolnogeth da,dhymm a'gas bolonjedh da.,For your good will to me.,,,
line,322,ha na vewy dysplesijs,"Ha na vewgh hwi displesys,",And be not [you should not be] you displeased.,,,
line,323,peseff aragogh omma,"pysav a-ragowgh omma,","I beseech before you all [here],",,,
line,324,ov ascusia,"ow askusya,","324 To excuse me,",,,
line,325,wy ham tays hav mam kefrys,hwi a'm tas ha'w mamm keffrys.,You and my father and my mother likewise.,,,
line,326,ny vanna omry then beys,"Ni vynna' omri dhe'n bys,","I will not give myself to the world,",,,
line,327,na domethy benytha,na demmedhi bynytha.,Nor marry me ever.,,,
blank,,,,,,,
speaker,,PATER 328,Pater,THE FATHER.,,,
line,328,Tav dymmovy meryasek,"Taw dhymmo vy, Meryasek!","328 Be silent for me, Meriasek !",,,
line,329,ty a thommeth ov map wek,"Ty a dhemmedh, ow mab hweg,","Thou wilt marry thee, my sweet son,",,,
line,330,the neb arlothes worthy,"dhe neb arloedhes wordhi,","To some worthy lady,",,,
line,331,ha ny a veth the creffa,ha ni a vydh dhe greffa,And we shall be the stronger,,,
line,332,der an maryach benitha,"der an maryaj bynytha,","332 Through the marriage ever,",,,
line,333,hag ol the lynnyeth defry,hag oll dha linyeth devri.,And all thy lineage surely.,,,
blank,,,,,,,
speaker,,MATER 334,Mater,THE MOTHER.,,,
line,334,Domethy mar ny reva,Demmedhi mar ny wrava,If he do not marry him,,,
line,335,tus ara agen scornya,tus a wra agan skornya.,Folk will scorn us,,,
line,336,meriasek na govs folneth,"Meryasek, na gows folneth.","336 Meriasek, speak not folly.",,,
line,337,wath bythqueth in bysma sur,Hwath bythkweyth y'n bys ma sur,Still ever in this world surely,,,
line,338,acontis y fus flogh fur,"akontys y feus flogh fur,","Thou hast been accounted a wise child,",,,
line,339,gvyth the hanov da rag meth,gwith dha hanow da rag meth!,Keep thy good name for shame !,,,
blank,,,,,,,
speaker,,MERIADOCUS 340,Meriadocus,MERIASEK.,,,
line,340,Na govsogh ger war an beys,Na gewsewgh ger war an bys,340 Speak ye not a word in the world,,,
line,341,benytha ov domethy,bynytha ow demmedhi.,Ever to marry me [of marrying].,,,
line,342,the ken forthov sur ov breys,Dhe gen fordhow sur ow brys,To other ways surely my mind,,,
line,343,yma syttis eredy,yma settys yredi.,Is set already.,,,
blank,,,,,,,
speaker,,PATER 344,Pater,THE FATHER.,,,
line,344,Pan forthov yv an rena,Pan fordhow yw an re na?,344 What ways are those ?,,,
line,345,meryasek thym lauer,"Meryasek, dhymm lavar.","Meriasek, say to me.",,,
line,346,lemen mar mynnyth dotya,Lemmyn mar mynnydh dotya,Now if thou wilt dote,,,
line,347,trueth vya ov map ker,"truedh via, ow mab ker.","It would be a pity, my dear son.",,,
blank,,,,,,,
speaker,,MERIADOCUS 348,Meriadocus,MERIASEK.,,,
line,348,Na vanna dre grath ihesu,"Ny vynna' dre ras Yesu,","348 I will not through Jesu's sake, [I will not, through Jesus' grace]",,,
line,349,me a leuer ov thays wek,"my a lever, ow thas hweg.","I say, my sweet father.",,,
line,350,ov bolnogeth purguir yv,Ow bolonjedh pur wir yw,My will right truly is,,,
line,351,rag gorthia crist galosek,rag gordhya Krist galloesek.,To worship mighty Christ.,,,
line,352,bones sacris marrek du,Bones sakrys marghek Dyw,"352 To be consecrated a knight of God,",,,
line,353,an order mar thym a plek,"a'n ordyr mar dhymm y pleg,","Of the order that pleases me,",,,
line,354,benitha hedre ven byv,bynytha hedra ven byw,Ever as long as I may be alive,,,
line,355,me a garse lowenek,my a garsa lowenek.,I should like gladly.,,,
blank,,,,,,,
speaker,,CONANUS REX 356,Conanus Rex,KING CONAN.,,,
line,356,Pan othem vs thysogy,Pan edhomm eus dhiso jy,356 What need is there to thee,,,
line,357,a naha roweth an beys,a nagha roweth an bys?,Of refusing the sway of the world ?,,,
line,358,ha ty genys eredy,Ha ty genys yredi,And thou (well-) born surely,,,
line,359,abarth tays ha mam kefrys,a-barth tas ha mamm keffrys,On side of father and of mother likewise.,,,
line,,,a'n goes ughel*.,,,,
line,360,nynsyv worschyp theth ehen,Nyns yw worshyp dhe'th eghenn,360 It is not respect to thy tribe,,,
line,361,the conseyt in pur certen,dha gonsayt yn pur sertan.,Thy conceit very certainly.,,,
line,362,ov map preder forthov guel,"Ow mab, preder fordhow gwell.","My son, think of better ways.",,,
blank,,,,,,,
speaker,,PATER 363,Pater,THE FATHER.,,,
line,363,Ellas ov map meryasek,"Ellas, ow mab Meryasek,","Alas, my son Meriasek,",,,
line,364,bythqueth ʒe gora ʒe scole,bythkweyth dha worra dhe skol!,364 That thou ever wert put to school !,,,
line,365,ty rum gruk vy morethek,Ty re'm grug vy moredhek.,Thou hast made me sorrowful.,,,
line,366,a skyans prest nynsus ole,A skians prest nyns eus ol,Of knowledge there is now nought at all,,,
line,367,ty the desky,ty dhe dhyski.,To teach thee. [That thou hast learned],,,
line,368,ny a veth scorne ol an pov,Ni a vydh skorn oll an pow.,368 We shall be the scorn of all the country.,,,
line,369,pytha an tyr han trevov,Pyth a an tir ha'n trevow,Where will go the land and the villages,,,
line,370,us thynny heb feladov,"eus dhyn ni heb falladow,","That are ours without fail,",,,
line,371,mar ny vynnyth domethy,mar ny vynnydh demmedhi?,If thou wilt not marry thee ?,,,
blank,,,,,,,
speaker,,MERIADOCUS 372,Meriadocus,MERIASEK.,,,
line,372,A das gruegh crist agis er,"A das, gwrewgh Krist agas er,","372 O father, make Christ your heir,",,,
line,373,bo ens y then goys nessa,"bo ens i dhe'n goes nessa,","Or let them go to the nearest blood,",,,
line,374,pythellens nefre numduer,pyth ellens nevra ny'm deur:,Whither they may go concerns me not [never] :,,,
line,375,ganse ny vanna melya,gansa ny vynna' mellya.,With them I will not meddle.,,,
blank,,,,,,,
speaker,,CONANUS REX 376,Conanus rex,KING CONAN.,,,
line,376,Me a greys sur meryasek,"My a grys sur, Meryasek,","376 I believe surely, Meriasek,",,,
line,377,nagote re skyansek,nag o'ta re skiansek,[That] Thou art not overwise,,,
line,378,gul erbyn the days hath vam,gul erbynn dha das ha'th vamm.,To act against thy father and thy mother.,,,
line,379,ny won pendrussis in scoll,Ny wonn pandr' wrussys yn skol;,I know not what thing thou didst in school :,,,
line,380,a thader byth nynsus oll,"a dhader bydh nyns eus ol,","380 Of any goodness there is not [nought at all],",,,
line,381,ov map ty the dysky tam,"ow mab, ty dhe dhyski tamm.","My son, that thou learnest aught [hast learned].",,,
blank,,,,,,,
speaker,,MERIADOCUS 382,Meriadocus,MERIASEK.,,,
line,382,Crist indelma a leuer,Krist yndellma a lever:,Christ thus saith :,,,
line,383,ov sywa neb a vynna,ow sywa neb a vynna,Whoso would follow me,,,
line,384,forsakyans byen ha muer,"forsakyens byghan ha meur,","384 Let him forsake small and great,",,,
line,385,teryov trefov an bysma,"tiryow, trevow an bys ma,","Lands, houses [The lands, the houses] of this world,",,,
line,386,y days hay vam,"y das ha'y vamm,","His father and his mother,",,,
line,387,y nessevyn hay cothmans,"y neshevin ha'y gothmans,","His kinsmen and his friends,",,,
line,388,hag eff a gvayn roov cans,hag ev a wayn rohow kans,388 And he shall gain a hundred gifts,,,
line,389,bys benitha an bevnans,bys vynitha a'n bywnans,For ever of [the] life,,,
blank,,,,,,,
line,390,in neff awartha heb nam,yn nev a-wartha heb namm.,In heaven above without fault.,,,
blank,,,,,,,
line,391,warlergh sen luk,Warlergh Sen Luk,According to Saint Luke,,,
line,392,me an kyff lell,my a'n kyv lel,392 I will find it loyally,,,
line,393,thyugh in awell,dhywgh y'n aweyl:,For you in the gospel :,,,
line,394,screfis yv kepar del yn gruk,skrifys yw kepar dell y'n gwrug.,It is written as he made it.,,,
blank,,,,,,,
speaker,,CONANUS REX 395,Conanus Rex,KING CONAN.,,,
line,395,Pyraga na ylta gy,Pyraga na yll'ta jy,Why canst thou not,,,
line,396,domethy oma in beys,"demmedhi omma y'n bys,","396 Marry thee here in the world,",,,
line,397,del fue lius den worthy,"dell veu lies den wordhi,","As were many worthy men, [As hath been a multitude of men worthy]",,,
line,398,ha gans y du purgerys,ha gans i Dyw pur gerys?,And by them God was [their God] purely loved ?,,,
line,399,ran sens in neff,"Re'n sens yn nev,","By the saints in heaven,",,,
line,400,genes ythoff dysplesijs,genes yth ov displesys,"400 With thee I am displeased,",,,
line,401,gul theth tus bones gesijs,"gul dhe'th tus bones gesys,","To cause thy folk to be jeered,",,,
line,402,kemeres duen ha greff,kemmeres dughan ha grev!,To take dole and grief!,,,
blank,,,,,,,
speaker,,MERIADOCUS 403,Meriadocus,MERIASEK.,,,
line,403,Rag kerense crist an neff,Rag kerensa Krist a'n nev,For love of the Christ of the heaven,,,
line,404,me a vyn agis pesy,my a vynn agas pysi,404 I will beseech you,,,
line,405,na gemerre denv#t# greff,na gemmerra denvydh grev,That no one take grief,,,
line,406,na duwen am govys vy,na dughan a'm govis vy.,Or dole because of me.,,,
blank,,,,,,,
speaker,,CONANUS 407,Conanus,CONAN.,,,
line,407,Coyl ortheff vy meryasek,"Koel orthiv vy, Meryasek","Listen to me, Meriasek,",,,
line,408,me ath desyr dre tekter,"my a'th tesir dre dekter,","408 I desire thee through fairness,",,,
line,409,bonyl ty a feth edrek,"[bo'neyl] ty a'fydh edrek,","Or else thou wilt have repentance,",,,
line,410,open dys me a leuer,open dhis my a lever.,Openly I say to thee.,,,
line,411,preder inta,Preder yn ta.,Consider well.,,,
line,412,the days ha me ny a yl,"Dha das ha my, ni a yll","412 Thy father and I, we can",,,
line,413,statya an tyr dyogeyl,"statya an tir, diogel,","Limit the land, certainly,",,,
line,414,mar mynen the den areyl,"mar mynnyn, dhe dhen arall,","If we will, to another man,",,,
line,415,na thefo dis benytha,na dheffo dhis bynytha.,That it come not to thee ever.,,,
blank,,,,,,,
line,416,In vrna avel begyer,Yn eur na avel begyer,416 Then as a beggar,,,
line,417,ty a veth sur heb awer,ty a vydh sur heb ahwer,Thou wilt be surely without grief,,,
line,418,sensys in pov,"synsys y'n pow,","Held in the country,",,,
line,419,hag ol the kerens blamys,hag oll dha gerens blamys.,And all thy kinsmen blamed.,,,
line,420,ellas mar pethen schamys,"Ellas, mar pydhyn shamys!","420 Alas, if we [shall] be shamed !",,,
line,421,wath preder a guel forthov,Hwath preder a well fordhow.,Yet think of better ways.,,,
blank,,,,,,,
speaker,,MERIADOCUS 422,Meriadocus,MERIASEK.,,,
line,422,Mar peth stat the den arel,Mar pydh stat dhe dhen arall,If an estate to another man [shall] be,,,
line,423,grueys annotho dyogel,"gwrys anodho diogel,","Made thereof certainly,",,,
line,424,ov liche wek me yv plesijs,"ow lij hweg, my yw plesys.","424 My sweet liege, I am pleased.",,,
line,425,henna thymo ny ra greff,Henna dhymmo ny wra grev.,That to me will not cause grief.,,,
line,426,mar calla cafus tyr neff,Mar kalla' kavoes tir nev,If I can find [have] heaven's land,,,
line,427,fy the plos lustis an beys,fi dhe blos lustys an bys!,Fye on the foul lusts of the world !,,,
blank,,,,,,,
speaker,,CONANUS REX 428,Conanus Rex,KING CONAN.,,,
line,428,Mur a varth yv genevy,Meur a varth yw genev vy,428 Much marvel have I,,,
line,429,"pan fyghyth rychyth {C., 278} an beys",pan fiydh rychys an bys.,"When thou fyest the riches of the world,",,,
line,430,bewe pel ny elte gy,Bywa pell ny yll'ta jy,live long thou couldst not,,,
line,431,heb peth na denvyth genys,"heb pyth, na denvydh genys.","Without wealth, nor (could) any one born.",,,
line,432,dre rychyth ha chevalry,Dre rychys ha chevalri,432 Through riches and chivalry,,,
line,433,den a veth femorys,den a vydh degemmerys,A man will be accepted,,,
line,434,inban in meske arlythy,"yn-bann yn mysk arlydhi,","Above amongst lords,",,,
line,435,ha ganse prest enorys,"ha gansa prest enorys,","And by them quickly honoured,",,,
blank,,,,,,,
line,436,Der y peth grueys den ryel,der y byth gwrys den ryal,"436 Through his wealth made a royal man,",,,
line,437,ha gorys then stat vhel,ha gorrys dhe'n stat ughel.,And put to the high station.,,,
line,438,pendra dal an bohosek,Pandra dal an boghosek?,What thing is the poor man worth ?,,,
line,439,kyn fo brays y devethyans,Kyn fo bras y dhevedhyans,"Though great be his lineage,",,,
line,440,ef a dryk pennoth in hans,ev a dryg penn-noeth yn hons:,440 He will remain bareheaded down below :,,,
line,441,nynguel an rych galosek,ny'n gwel an rych galloesek.,Him the rich powerful (man) will not see.,,,
blank,,,,,,,
speaker,,MERIADOCUS 442,Meriadocus,MERIASEK.,,,
line,442,Na govsugh a chevalry,Na gewsewgh a jevalri:,Talk you not of chivalry :,,,
